Termos de Busca (v14) (evar14),leite,299,45.48%,61.20%,1.00%,19.40%,1.42%
Termos de Busca (v14) (evar14),cerveja,251,48.61%,44.22%,0.80%,29.48%,2.36%
Termos de Busca (v14) (evar14),acucar,141,48.23%,71.63%,2.13%,17.02%,1.61%
Termos de Busca (v14) (evar14),arroz,138,44.20%,65.22%,0.00%,21.01%,2.42%
Termos de Busca (v14) (evar14),papel higienico,136,54.41%,85.29%,2.94%,12.50%,3.15%
Termos de Busca (v14) (evar14),detergente,124,62.90%,91.94%,1.61%,18.55%,2.44%
Termos de Busca (v14) (evar14),cafe,120,54.17%,74.17%,1.67%,19.17%,0.00%
Termos de Busca (v14) (evar14),azeite,118,62.71%,79.66%,4.24%,13.56%,6.31%
Termos de Busca (v14) (evar14),leite condensado,117,48.72%,70.09%,2.56%,15.38%,3.85%
Termos de Busca (v14) (evar14),fraldas,114,46.49%,33.33%,1.75%,18.42%,1.23%
Termos de Busca (v14) (evar14),leite integral,107,48.60%,72.90%,1.87%,11.21%,3.06%
Termos de Busca (v14) (evar14),macarrao,98,60.20%,83.67%,3.06%,18.37%,3.12%
Termos de Busca (v14) (evar14),amaciante,96,59.38%,83.33%,1.04%,19.79%,1.12%
Termos de Busca (v14) (evar14),feijao,90,50.00%,83.33%,2.22%,25.56%,1.20%
Termos de Busca (v14) (evar14),sabonete,76,69.74%,90.79%,0.00%,14.47%,4.11%
Termos de Busca (v14) (evar14),creme de leite,75,58.67%,85.33%,5.33%,10.67%,2.67%
Termos de Busca (v14) (evar14),manteiga,69,75.36%,91.30%,2.90%,18.84%,6.06%
Termos de Busca (v14) (evar14),suco,69,71.01%,76.81%,5.80%,26.09%,0.00%
Termos de Busca (v14) (evar14),papel toalha,66,68.18%,92.42%,6.06%,16.67%,3.12%
Termos de Busca (v14) (evar14),requeijao,65,63.08%,90.77%,3.08%,20.00%,6.25%
Termos de Busca (v14) (evar14),chocolate,63,66.67%,68.25%,1.59%,23.81%,3.57%
Termos de Busca (v14) (evar14),biscoito,62,62.90%,90.32%,0.00%,6.45%,3.23%
Termos de Busca (v14) (evar14),refrigerante,57,54.39%,70.18%,3.51%,22.81%,3.92%
Termos de Busca (v14) (evar14),iogurte,57,77.19%,73.68%,3.51%,28.07%,3.64%
Termos de Busca (v14) (evar14),omo,57,66.67%,85.96%,7.02%,21.05%,0.00%
Termos de Busca (v14) (evar14),fralda,57,47.37%,42.11%,0.00%,19.30%,0.00%
Termos de Busca (v14) (evar14),oleo,55,61.82%,81.82%,3.64%,16.36%,3.64%
Termos de Busca (v14) (evar14),sabao em po,55,60.00%,87.27%,1.82%,25.45%,3.64%
Termos de Busca (v14) (evar14),sorvete,55,56.36%,78.18%,1.82%,16.36%,1.89%
Termos de Busca (v14) (evar14),margarina,52,71.15%,90.38%,1.92%,15.38%,3.85%
Termos de Busca (v14) (evar14),frango,49,57.14%,65.31%,4.08%,18.37%,2.13%
Termos de Busca (v14) (evar14),pao,48,58.33%,87.50%,2.08%,12.50%,0.00%
Termos de Busca (v14) (evar14),batata,45,62.22%,73.33%,4.44%,17.78%,0.00%
Termos de Busca (v14) (evar14),coca cola,45,48.89%,80.00%,13.33%,24.44%,0.00%
Termos de Busca (v14) (evar14),leite desnatado,44,63.64%,86.36%,0.00%,11.36%,6.98%
Termos de Busca (v14) (evar14),whisky,43,58.14%,44.19%,4.65%,20.93%,2.78%
Termos de Busca (v14) (evar14),queijo,42,59.52%,88.10%,0.00%,9.52%,4.76%
Termos de Busca (v14) (evar14),maionese,41,78.05%,92.68%,2.44%,12.20%,7.32%
Termos de Busca (v14) (evar14),linguica,41,75.61%,90.24%,2.44%,14.63%,0.00%
Termos de Busca (v14) (evar14),vinho,41,68.29%,17.07%,2.44%,48.78%,0.00%
Termos de Busca (v14) (evar14),agua,40,60.00%,65.00%,5.00%,22.50%,2.56%
Termos de Busca (v14) (evar14),candida,40,51.28%,97.44%,2.56%,10.26%,2.56%
Termos de Busca (v14) (evar14),creme dental,39,64.10%,87.18%,0.00%,15.38%,0.00%
Termos de Busca (v14) (evar14),bisnaguinha,38,50.00%,84.21%,0.00%,10.53%,2.94%
Termos de Busca (v14) (evar14),bolacha,38,63.16%,84.21%,5.26%,18.42%,0.00%
Termos de Busca (v14) (evar14),carne,38,55.26%,65.79%,5.26%,15.79%,0.00%
Termos de Busca (v14) (evar14),picanha,38,52.63%,60.53%,7.89%,26.32%,0.00%
Termos de Busca (v14) (evar14),lenco umedecido,38,36.84%,55.26%,0.00%,13.16%,0.00%
Termos de Busca (v14) (evar14),desodorante,37,64.86%,75.68%,0.00%,29.73%,6.06%
Termos de Busca (v14) (evar14),shampoo,37,59.46%,72.97%,0.00%,18.92%,2.94%
Termos de Busca (v14) (evar14),pao de forma,37,75.68%,86.49%,0.00%,5.41%,0.00%
Termos de Busca (v14) (evar14),agua de coco,37,67.57%,86.49%,8.11%,8.11%,0.00%
Termos de Busca (v14) (evar14),sabao,37,51.35%,70.27%,0.00%,13.51%,0.00%
Termos de Busca (v14) (evar14),cha,36,66.67%,80.56%,5.56%,22.22%,0.00%
Termos de Busca (v14) (evar14),leite em po,36,52.78%,58.33%,2.78%,22.22%,0.00%
Termos de Busca (v14) (evar14),nescau,35,62.86%,74.29%,0.00%,11.43%,5.71%
Termos de Busca (v14) (evar14),bebidas,35,60.00%,17.14%,0.00%,40.00%,0.00%
Termos de Busca (v14) (evar14),carnes,35,37.14%,40.00%,2.86%,20.00%,0.00%
Termos de Busca (v14) (evar14),budweiser,34,50.00%,44.12%,5.88%,14.71%,3.70%
Termos de Busca (v14) (evar14),rexona,34,50.00%,73.53%,5.88%,11.76%,2.94%
Termos de Busca (v14) (evar14),undefined,34,47.06%,26.47%,8.82%,2.94%,2.94%
Termos de Busca (v14) (evar14),guardanapo,33,72.73%,84.85%,6.06%,6.06%,9.68%
Termos de Busca (v14) (evar14),banana,33,75.76%,84.85%,3.03%,12.12%,9.09%
Termos de Busca (v14) (evar14),mae terra,33,63.64%,87.88%,6.06%,15.15%,6.25%
Termos de Busca (v14) (evar14),ovos,33,63.64%,81.82%,6.06%,12.12%,3.03%
Termos de Busca (v14) (evar14),esponja,33,72.73%,96.97%,0.00%,12.12%,0.00%
Termos de Busca (v14) (evar14),salgadinho,33,60.61%,81.82%,0.00%,24.24%,0.00%
Termos de Busca (v14) (evar14),sal,32,68.75%,81.25%,3.12%,21.88%,6.25%
Termos de Busca (v14) (evar14),sabao liquido,32,62.50%,75.00%,3.12%,25.00%,3.12%
Termos de Busca (v14) (evar14),agua sanitaria,32,68.75%,87.50%,0.00%,15.62%,0.00%
Termos de Busca (v14) (evar14),veja,32,65.62%,90.62%,0.00%,15.62%,0.00%
Termos de Busca (v14) (evar14),leite ninho,31,54.84%,54.84%,3.23%,9.68%,3.33%
Termos de Busca (v14) (evar14),molho de tomate,31,64.52%,93.55%,12.90%,9.68%,3.23%
Termos de Busca (v14) (evar14),farinha de trigo,30,58.62%,96.55%,0.00%,10.34%,10.34%
Termos de Busca (v14) (evar14),heineken,30,36.67%,66.67%,3.33%,3.33%,3.85%
Termos de Busca (v14) (evar14),alcool,30,70.00%,86.67%,3.33%,6.67%,0.00%
Termos de Busca (v14) (evar14),vinhos,30,63.33%,20.00%,3.33%,46.67%,0.00%
Termos de Busca (v14) (evar14),vinagre,29,79.31%,79.31%,0.00%,24.14%,0.00%
